name,url,tagline,source,circle,candidateType,sourceUrl,published,notes
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS founder"" ""churn"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""PLG"" ""activation"" ""SaaS"""
,,,manual_research,saas_founders,topic,,2026-06-12,"Find from: ""SaaS"" ""pricing page"" ""launch"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS pricing"" ""case study"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""B2B SaaS"" ""onboarding"""
,,,manual_research,saas_founders,topic,,2026-06-12,"Find from: ""SaaS founder"" ""churn"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""PLG"" ""activation"" ""SaaS"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS"" ""pricing page"" ""launch"""
,,,manual_research,saas_founders,topic,,2026-06-12,"Find from: ""SaaS pricing"" ""case study"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""B2B SaaS"" ""onboarding"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS founder"" ""churn"""
,,,manual_research,saas_founders,topic,,2026-06-12,"Find from: ""PLG"" ""activation"" ""SaaS"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS"" ""pricing page"" ""launch"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS pricing"" ""case study"""
,,,manual_research,saas_founders,topic,,2026-06-12,"Find from: ""B2B SaaS"" ""onboarding"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS founder"" ""churn"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""PLG"" ""activation"" ""SaaS"""
,,,manual_research,saas_founders,topic,,2026-06-12,"Find from: ""SaaS"" ""pricing page"" ""launch"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS pricing"" ""case study"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""B2B SaaS"" ""onboarding"""
,,,manual_research,saas_founders,topic,,2026-06-12,"Find from: ""SaaS founder"" ""churn"""
,,,manual_research,crypto_builders,topic,,2026-06-12,"Find from: ""crypto wallet"" ""developer"""
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""onchain"" ""tool"" launch"
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""DeFi"" ""dashboard"""
,,,manual_research,crypto_builders,topic,,2026-06-12,"Find from: ""stablecoin"" ""infrastructure"""
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""web3"" ""founder"" ""product"""
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""crypto wallet"" ""developer"""
,,,manual_research,crypto_builders,topic,,2026-06-12,"Find from: ""onchain"" ""tool"" launch"
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""DeFi"" ""dashboard"""
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""stablecoin"" ""infrastructure"""
,,,manual_research,crypto_builders,topic,,2026-06-12,"Find from: ""web3"" ""founder"" ""product"""
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""crypto wallet"" ""developer"""
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""onchain"" ""tool"" launch"
,,,manual_research,crypto_builders,topic,,2026-06-12,"Find from: ""DeFi"" ""dashboard"""
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""stablecoin"" ""infrastructure"""
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""web3"" ""founder"" ""product"""
,,,manual_research,crypto_builders,topic,,2026-06-12,"Find from: ""crypto wallet"" ""developer"""
,,,manual_research,crypto_builders,product,,2026-06-12,"Find from: ""onchain"" ""tool"" launch"
,,,manual_research,ai_startups,topic,,2026-06-12,"Find from: ""AI startup"" launch new tool"
,,,manual_research,ai_startups,product,,2026-06-12,"Find from: ""AI agent"" founder workflow"
,,,manual_research,ai_startups,product,,2026-06-12,"Find from: ""LLM"" ""Product Hunt"" launch"
,,,manual_research,ai_startups,topic,,2026-06-12,"Find from: ""AI automation"" ""pricing"" startup"
,,,manual_research,ai_startups,product,,2026-06-12,"Find from: ""AI tool"" ""founder"" ""waitlist"""
,,,manual_research,ai_startups,product,,2026-06-12,"Find from: ""AI startup"" launch new tool"
,,,manual_research,ai_startups,topic,,2026-06-12,"Find from: ""AI agent"" founder workflow"
,,,manual_research,ai_startups,product,,2026-06-12,"Find from: ""LLM"" ""Product Hunt"" launch"
,,,manual_research,ai_startups,product,,2026-06-12,"Find from: ""AI automation"" ""pricing"" startup"
